2018-09-15 12:25:44: m4690.jfernandorojasc-gmail-com.goodsync is REMOTE, trying DIRECT at 213.136.67.9:33333
2018-09-15 12:25:45: MustRetry after Recv: Recv: [requesting Digest auth]: 
2018-09-15 12:25:46: -- Análisis iniciado por On File Change Incremental
2018-09-15 12:25:58: Cambios: 61, Conflictos: 0, CopiaFecha: 0, CopiaEstado: 0, Errores: 0, All: 927
2018-09-15 12:25:58: Right to Left: Copy File: 61 
2018-09-15 12:25:58: == Sinc comenzada por On File Change Incremental
2018-09-15 12:25:59: Crear Carpeta 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language'
2018-09-15 12:26:00: Crear Carpeta 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/src'
2018-09-15 12:26:01: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/get_oauth_token.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/get_oauth_token.php' (4.866)
2018-09-15 12:26:03: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-am.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-am.php' (2.185)
2018-09-15 12:26:04: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ar.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ar.php' (2.055)
2018-09-15 12:26:05: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-az.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-az.php' (1.748)
2018-09-15 12:26:07: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-ba.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-ba.php' (1.743)
2018-09-15 12:26:08: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-be.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-be.php' (2.177)
2018-09-15 12:26:09: Copiar Nueva 'C:/Users/RADEON/Desktop/wwwroot/PHPMailer/language/phpmailer.lang-bg.php' -> 'gstps://m4690.jfernandorojasc-gmail-com.goodsync/C:/inetpub/wwwroot/Kairos/PHPMailer/language/phpmailer.lang-bg.php' (2.195)
