id;translation;levelRequired;iconId;classType
1;Wooden Stick;1;1;1
2;Wooden Stick;4;2;1
3;Wooden Sword;7;3;1
4;Wooden Hammer;10;4;1
5;Heavy Wooden Hammer;13;5;1
6;Trainee's Wooden Sword;15;6;1
7;Adventurer's Sword;18;7;1
8;Wooden Catapult;1;8;1
9;Heavy Wooden Catapult;6;9;1
10;Trainee's Wooden Catapult;12;10;1
11;Adventurer's Catapult;16;11;1
12;Clothing;1;12;1
13;Training Uniform;3;13;1
14;Adventurer's Uniform;8;14;1
15;Training Uniform;11;15;1
16;Adventurer's Cloak Set;14;16;1
17;Warm Cloak Set;17;17;1
18;Beginner's Sword;15;18;2
19;Short Sword;20;19;2
20;Sword of Pain;26;20;2
21;Short Sword;29;21;2
22;Bronze Sword;34;22;2
23;Sabre;36;23;2
24;Broad Sword of Spirit;40;24;2
25;Falchion;42;25;2
26;Golden Sabre;46;26;2
27;Broadsword;48;27;2
28;Longsword of Power;52;28;2
29;Bastard Sword;53;29;2
30;Skyabona;57;30;2
31;Claymore;60;31;2
32;Beginner's Bow;15;32;4
33;Small Bow;20;33;4
34;Bow of Speed;26;34;4
35;Bamboo Bow;29;35;4
36;Magic Bow;34;36;4
37;Oak Bow;36;37;4
38;Wind Bow;40;38;4
39;Horned Bow;42;39;4
40;Leather Bow;46;40;4
41;Hunting Bow;48;41;4
42;Bow of Courage;52;42;4
43;Long Bow;53;43;4
44;Bronze Bow;57;44;4
45;Bow of Spirit;60;45;4
46;Beginner's Wand;15;46;8
47;Red Bead Wand;20;47;8
48;Wand of Spirit;26;48;8
49;Ruby Wand;29;49;8
50;Enchanted Magic Wand;34;50;8
51;Blue Bead Wand;36;51;8
52;Magic Wand of Light;40;52;8
53;Opal Wand;42;53;8
54;Mana Wand;46;54;8
55;Coral Magic Wand;48;55;8
56;Magic Wand of Honour;52;56;8
57;Crystal Magic Wand;53;57;8
58;Magic Wand of Intelligence;57;58;8
59;Magic Wand of Shadows;60;59;8
60;Leather Gloves;15;60;0
61;Tough Gloves;19;61;0
62;Adventurer's Shoes;5;62;0
63;Heeled Boots;11;63;0
64;Leather Shoes;16;64;0
65;Roller Skates;20;65;0
66;Master's Sword;21;20;1
67;Master's Catapult;19;67;1
68;Beginner's Crossbow;15;68;2
69;Oak Crossbow;20;69;2
70;Fairy Crossbow;27;70;2
71;Slim Gloves;4;71;0
72;Rubber Gloves;10;72;0
73;Steel Crossbow;33;73;2
74;Masterpiece Crossbow;41;74;2
75;Shadow Crossbow;47;75;2
76;Beechwood Crossbow;53;76;2
77;Crossbow of Courage;58;77;2
78;Beginner's Dagger;15;78;4
79;Dagger;20;79;4
80;Dirk of Ordeals;27;80;4
81;Refined Dirk;33;81;4
82;Masterpiece Dirk;41;82;4
83;Brazen Dagger;47;83;4
84;Ruby Dagger;53;84;4
85;Dagger of Spirit;58;85;4
86;Beginner's Spell Gun;15;86;8
87;Small Spell Gun;20;87;8
